Date,User,Message
2025-05-10 09:12,minji,오늘 5시 회의 회의실 B 맞죠?
2025-05-10 09:13,jaeha,네 맞아요 자료는 제가 준비할게요
2025-05-10 09:14,seho,저는 30분 정도 늦을 것 같습니다 죄송해요
2025-05-10 09:20,minji,자료 미리 공유 가능할까요? 회고 부분만 먼저요
2025-05-10 10:01,jaeha,초안 슬랙에 올렸어요 확인 부탁드립니다
2025-05-10 10:30,bot,새 멤버님이 들어왔습니다
2025-05-10 11:05,jihye,자료 잘 받았습니다 OKR 부분 질문 있어요
2025-05-10 11:30,seho,5시 미팅 안건 순서 어떻게 되나요
2025-05-10 12:00,minji,1) 4월 회고 2) 5월 OKR 3) 채용 업데이트 입니다
2025-05-10 14:22,jaeha,발표는 누가 진행할지 정해야 할 것 같아요
2025-05-10 14:23,jihye,제가 회고 파트 발표할게요
2025-05-10 16:55,minji,5분 후 회의실에서 봬요
